#Results for evolved program
#Output
#X    Expected     Actual
713 5.4533e+08 5.41429e+08
714 5.47626e+08 5.43708e+08
715 5.49927e+08 5.45993e+08
716 5.52236e+08 5.48285e+08
717 5.54551e+08 5.50583e+08
718 5.56872e+08 5.52888e+08
719 5.59199e+08 5.55199e+08
720 5.61534e+08 5.57517e+08
721 5.63874e+08 5.5984e+08
722 5.66221e+08 5.62171e+08
723 5.68575e+08 5.64508e+08
724 5.70935e+08 5.66851e+08
725 5.73302e+08 5.69201e+08
726 5.75675e+08 5.71557e+08
727 5.78055e+08 5.7392e+08
728 5.80441e+08 5.76289e+08
729 5.82834e+08 5.78665e+08
730 5.85234e+08 5.81048e+08
731 5.8764e+08 5.83436e+08
732 5.90052e+08 5.85832e+08
733 5.92471e+08 5.88234e+08
734 5.94897e+08 5.90642e+08
735 5.9733e+08 5.93057e+08
736 5.99769e+08 5.95479e+08
737 6.02214e+08 5.97907e+08
738 6.04667e+08 6.00342e+08
739 6.07126e+08 6.02783e+08
740 6.09591e+08 6.05231e+08
741 6.12063e+08 6.07686e+08
742 6.14542e+08 6.10147e+08
743 6.17028e+08 6.12615e+08
744 6.1952e+08 6.1509e+08
745 6.22019e+08 6.17571e+08
746 6.24525e+08 6.20059e+08
747 6.27038e+08 6.22554e+08
748 6.29557e+08 6.25055e+08
749 6.32083e+08 6.27563e+08
750 6.34615e+08 6.30077e+08
751 6.37155e+08 6.32599e+08
752 6.39701e+08 6.35127e+08
753 6.42254e+08 6.37662e+08
754 6.44814e+08 6.40203e+08
755 6.4738e+08 6.42751e+08
756 6.49954e+08 6.45306e+08
757 6.52534e+08 6.47868e+08
758 6.55121e+08 6.50437e+08
759 6.57715e+08 6.53012e+08
760 6.60315e+08 6.55594e+08
761 6.62923e+08 6.58183e+08
762 6.65537e+08 6.60779e+08
763 6.68158e+08 6.63381e+08
764 6.70786e+08 6.65991e+08
765 6.73421e+08 6.68607e+08
766 6.76063e+08 6.7123e+08
767 6.78712e+08 6.7386e+08
768 6.81368e+08 6.76496e+08
769 6.8403e+08 6.7914e+08
770 6.867e+08 6.81791e+08
771 6.89376e+08 6.84448e+08
772 6.9206e+08 6.87112e+08
773 6.9475e+08 6.89783e+08
774 6.97447e+08 6.92462e+08
775 7.00152e+08 6.95147e+08
776 7.02863e+08 6.97839e+08
777 7.05581e+08 7.00537e+08
778 7.08306e+08 7.03243e+08
779 7.11039e+08 7.05956e+08
780 7.13778e+08 7.08676e+08
781 7.16524e+08 7.11403e+08
782 7.19278e+08 7.14136e+08
783 7.22038e+08 7.16877e+08
784 7.24805e+08 7.19625e+08
785 7.2758e+08 7.2238e+08
786 7.30361e+08 7.25141e+08
787 7.3315e+08 7.2791e+08
788 7.35946e+08 7.30686e+08
789 7.38749e+08 7.33469e+08
790 7.41559e+08 7.36259e+08
791 7.44376e+08 7.39056e+08
792 7.472e+08 7.4186e+08
793 7.50031e+08 7.44671e+08
794 7.5287e+08 7.47489e+08
795 7.55715e+08 7.50315e+08
796 7.58568e+08 7.53147e+08
797 7.61428e+08 7.55987e+08
798 7.64295e+08 7.58833e+08
799 7.6717e+08 7.61687e+08
800 7.70051e+08 7.64548e+08
801 7.7294e+08 7.67416e+08
802 7.75836e+08 7.70292e+08
803 7.78739e+08 7.73174e+08
804 7.81649e+08 7.76064e+08
805 7.84567e+08 7.78961e+08
806 7.87492e+08 7.81865e+08
807 7.90424e+08 7.84776e+08
808 7.93363e+08 7.87695e+08
809 7.9631e+08 7.9062e+08
810 7.99264e+08 7.93553e+08
811 8.02225e+08 7.96494e+08
812 8.05194e+08 7.99441e+08
813 8.0817e+08 8.02396e+08
